peds_fourier_ens4, 5.990349611557101, 5.230409836674165, 6.988200754107464, 7.214766923458383,  400
peds_fourier_enspercent11,,,,                                                                   125
peds_fourier_ens5, 5.014312516641962, 2.5327903297433427, 4.985688126950852, 5.139025278118667
peds_fourier_uq1, 0.7336938993835115, 1.5665189017025738, 5.681309970645148, 5.8745937860691
peds_f_ens, 0.0, 0.0, 0.0, 5821.4176447107975
peds_f_ens, 0.0, 0.0, 0.0, 5821.4176447107975
peds_f_ens, 0.0, 0.0, 0.0, 5821.4176447107975
peds_f_ens, 0.0, 0.0, 0.0, 9.242588281902576
peds_f_ens_uq1,0.000000,0.000000,0.0000,3.2983,2.1039,3.1111,4.9710,2.7224,2.6773,3.1979,4.5957
peds_f_ens_uq1,0.000000,0.000000,0.0000,3.2983,2.1039,3.1111,4.9710,2.7224,2.6773,3.1979,4.5957
peds_f_ens_uq1,0.000000,0.000000,0.0000,3.2983,2.1039,3.1111,4.9710,2.7224,2.6773,3.1979,4.5957
peds_f_ens_uq1,0.000000,0.000000,0.0000,4.5830,6.1692,4.3910,5.6055,3.8479,2.9749,5.1466,6.3625
peds_f_ens_uq1,0.000000,0.000000,0.0000,4.5928,4.8498,4.3853,6.0460,3.7185,3.4670,5.1760,6.0096
peds_ens_fourier_uq1,0.846230,9.320739,5.9340,6.4827,11.3125,6.2787,7.4333,5.9390,5.3019,7.0912,7.5986
peds_ens_fourier_uq1,0.887859,9.378862,6.1211,6.7509,10.6946,6.6044,7.3827,6.0380,5.6734,7.5892,7.7032
peds_ens_fourier_uq1,2.809986,11.364108,6.9890,7.3459,9.2513,7.2721,7.6725,7.0497,6.7823,7.8275,7.7242
peds_ens_fourier_uq1,4.848694,6.566983,5.2312,5.8604,9.4004,5.7501,6.3601,4.4394,5.0292,7.5297,6.4433
peds_ens_fourier_uq1,0.522108,5.863769,4.7840,5.1552,8.0577,5.0561,5.6269,3.8534,4.1126,6.9041,5.7508
peds_ens_fourier_uq1,0.500056,5.893298,4.6077,4.6769,8.4189,4.5795,5.1122,3.5433,3.3926,6.0685,5.7032
peds_ens_fourier_uq1,1.549857,5.483407,4.5212,4.9429,9.1075,4.8863,5.0443,3.7721,3.9038,6.2796,5.8163
